"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  $","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  $","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
21.,"REDTIGER 4K Dash Cam Front and Rear, STARVIS 2 Sensor, Touch Screen 3.18"", 128GB Card Included, Voice Control, 5.8GHz WiFi Car Dash Camera, GPS, Night Vision, Emergency Lock, Parking Mode (F7N Touch)","B0C6YBHKJ5","https://www.amazon.com/dp/B0C6YBHKJ5?psc=1","https://m.media-amazon.com/images/I/71xYmXWkXFL._AC_SX342_.jpg","REDTIGER",110.98,"7,926","7,812","5,000","1,182,155.07","1,165,030.34",199,272,"CN",14.25,4,4.3,"2,889",9,192,"REDTIGER-Direct","Electronics","Large Standard-Size","FBA","9.69 x 1.93 x 6.22 in",1.43,"N/A","Jun 2, 2023",,"No",24,"REDTIGER-Direct"
22.,"Dash Cam Front and Rear: 4K Dual Channel Dash Cam - 5GHz WiFi, Dash Camera for Cars with 64GB Card, 2.0"" IPS Screen, App Control, G-Sensor, Loop Recording, 170° Wide Angle, Night Vision, Parking Mode","B0DHZDBJKY","https://www.amazon.com/dp/B0DHZDBJKY?psc=1","https://m.media-amazon.com/images/I/71hdzHUUO2L._AC_SX569_.jpg","WANLIPO",59.99,"4,620","4,572","6,000","277,128.68","274,236.14",199,192,"CN",9.46,2,4.6,727,8,115,"WANLIPO-US","Electronics","Large Standard-Size","FBA","7.72 x 2.68 x 4.13 in",0.97,"N/A","Oct 10, 2024",,"No",8,"WANLIPO-US"
23.,"Dash Cam Front and Rear, 4k+1080P Dual Dash Camera for Cars, 1.5” WiFi Mini Dashcam with App, 170°Wide Angle Car Camera, Night Vision, 24H Parking Mode, 32GB Card Included, G-Sensor, Support 256GB Max","B0FBR88DR3","https://www.amazon.com/dp/B0FBR88DR3?psc=1","https://m.media-amazon.com/images/I/510zuXJH9KL._AC_SX466_.jpg","Veement",49.94,214,224,"N/A","11,524.29","12,078.68",200,"10,393","CN",8.98,4,4.9,101,8,53,"Veement Dash Cam","Electronics","Large Standard-Size","FBA","6.14 x 2.72 x 5.59 in",0.99,"N/A","Jun 2, 2025",,"No",0,"Veement Dash Cam"
24.,"4K Dash Cam Front and Rear, Built-in 5G WiFi GPS, 64GB Card Included, 3.59'' IPS Screen Dash Camera for Cars, Dual Dashcam with G-Sensor, Loop Recording, WDR, Night Vision, 24H Parking Monitor","B0DG5R2K4J","https://www.amazon.com/dp/B0DG5R2K4J?psc=1","https://m.media-amazon.com/images/I/710upAoYg3L._AC_SX522_.jpg","Affver",79.99,"1,546","1,486","1,000","146,552.89","140,460.93",192,"2,182","CN",13.1,1,4.7,787,9,78,"Affver","Electronics","Large Standard-Size","FBA","6.81 x 2.72 x 5.87 in",1.08,"N/A","Sep 5, 2024",,"No",9,"Affver"
25.,"($) REDTIGER Dash Cam Front Rear, 4K/2.5K Full HD Dash Camera for Cars, Included 32GB Card, Built-in Wi-Fi GPS, APP Control, 3.18"" IPS Screen, Night Vision, Wide Angle, WDR, 24H Parking Mode(F7NP)","B098WVKF19","https://www.amazon.com/dp/B098WVKF19?psc=1","https://m.media-amazon.com/images/I/71hLmfRBteL._AC_SY355_.jpg","REDTIGER",89.99,"15,363","15,324","10,000","1,735,608.01","1,731,737.53",192,22,"CN",12.72,8,4.2,"16,595",7,703,"REDTIGER-Direct","Electronics","Large Standard-Size","FBA","7.91 x 2.95 x 6.73 in",1.61,"N/A","Aug 23, 2021","Sponsored","No",46,"REDTIGER-Direct"
26.,"Dash Cam Front Rear: 4K+1080P Full HD Dashcam Free 64GB Card, with 5G WiFi GPS, Dual Dash Camera for Cars with 3"" IPS Screen, Night Vision, HDR, App Control, 24H Parking Mode, Loop Record","B0DFM5WG8X","https://www.amazon.com/dp/B0DFM5WG8X?psc=1","https://m.media-amazon.com/images/I/71GZ6ndwypL._AC_SX385_.jpg","COOLCRAZY",54.99,"1,385","2,694","2,000","129,637.65","264,724.45",187,792,"CN",10.91,2,4.3,899,9,101,"Coolcrazy-US","Electronics","Large Standard-Size","FBA","7.91 x 3.19 x 6.77 in",1.68,"N/A","Aug 29, 2024",,"No",10,"Coolcrazy-US"
27.,"F8 Car Camera Dash Cam Front and Rear, 4K+1080P 170° Wide Angle Dual Dash Camera for Cars with 64GB Card, Wireless 5G WiFi&App Control, WDR/HDR Night Vision, 24H Parking Mode, Loop Recording","B0F1MWPKNQ","https://www.amazon.com/dp/B0F1MWPKNQ?psc=1","https://m.media-amazon.com/images/I/71mevChw32L._AC_SX425_.jpg","OVAMAN",69.99,539,536,400,"38,695.24","38,431.29",190,"8,107","CN",10.59,2,5,69,9,57,"luedekeji","Electronics","Large Standard-Size","FBA","8.43 x 2.44 x 5.47 in",1.12,"N/A","Mar 17, 2025",,"No",3,"luedekeji"
28.,"Dash Cam Front and Rear 4K+1080P, Free 64GB Card, Built-in WiFi, Dash Camera for Cars, Car Camera, Dual Dashcams for Cars with Night Vision, 24 Hours Parking Monitor, Loop Recording","B0BKF6XQVY","https://www.amazon.com/dp/B0BKF6XQVY?psc=1","https://m.media-amazon.com/images/I/71XBwTnLEzL._AC_SX385_.jpg","ARIFAYZ",59.99,"2,386","2,418","1,000","195,056.41","197,908.78",181,"1,701","CN",11.86,1,4.3,"2,478",9,75,"ARIFAYZ","Electronics","Large Standard-Size","FBA","6.18 x 2.83 x 5.67 in",1.01,"N/A","Oct 25, 2022",,"No",32,"ARIFAYZ"
29.,"Dash Cam Front and Rear, 1080P Dash Camera for Cars, 3 Channel Car Camera Front Rear and Inside with 32GB Card, Loop Recording, Night Vision, HDR, G-Sensor, 24Hr Parking","B0C2Y6WXJ7","https://www.amazon.com/dp/B0C2Y6WXJ7?psc=1","https://m.media-amazon.com/images/I/71uNMozN-6L._AC_SX466_.jpg","SUVCON",59.99,"5,808","6,014","4,000","346,160.04","358,512.23",169,477,"CN",9.46,12,4.2,"5,249",8,212,"KUER","Electronics","Large Standard-Size","FBA","5.87 x 2.68 x 5.20 in",0.88,"N/A","Apr 11, 2023",,"No",26,"KUER"
30.,"($) VIOFO A229 Plus Dash Cam Front and Rear, Dual STARVIS 2 Sensors, 2 Channel HDR, 1440P+1440P Voice Control Car Dash Camera, 5GHz Wi-Fi, Support 512GB Max, Voice Control, Ultra-Precise GPS","B0CKX14L34","https://www.amazon.com/dp/B0CKX14L34?psc=1","https://m.media-amazon.com/images/I/71rtcpbZU-L._AC_SY355_.jpg","VIOFO",199.99,"5,774","5,591","4,000","1,112,526.64","1,076,912.28",186,647,"CN",21.77,2,4.4,989,8,55,"VIOFO LTD","Electronics","Large Standard-Size","FBA","11.42 x 3.94 x 5.71 in",1.98,"N/A","Oct 12, 2023","Sponsored","No",20,"VIOFO LTD"
31.,"($) Vantrue N4 Pro 4K 3 Channel Dash Cam, STARVIS 2 IMX678 x PlatePix™ x HDR Night Vision, 4K+1080P+1080P Front Inside and Rear Dash Camera, Voice Control, WiFi, GPS, 24H Parking Mode, Support 512GB Max","B0C3M7HPRT","https://www.amazon.com/dp/B0C3M7HPRT?psc=1","https://m.media-amazon.com/images/I/71YPrV9t3FL._AC_SX679_.jpg","VANTRUE",379.99,"1,896","1,874","1,000","650,029.36","641,710.78",198,"1,963","CN",36.27,1,4.4,"2,097",9,"N/A","VANTRUE","Electronics","Large Standard-Size","FBA","6.97 x 3.86 x 5.71 in",2.18,"N/A","Jun 12, 2023","Sponsored","No",24,"VANTRUE"
32.,"($) Vantrue N5 4 Channel WiFi 360° All Sides Dash Cam, STARVIS 2, IR Night Vision, 2.7K+1080P*3 Front Rear Inside Dashcam, Voice Control, GPS, 24 Hours Buffered Parking Mode Dash Camera, Support 512GB Max","B0C58H2CSP","https://www.amazon.com/dp/B0C58H2CSP?psc=1","https://m.media-amazon.com/images/I/71+xgHE33yL._AC_SX342_.jpg","VANTRUE",399.99,"1,659","1,566","1,000","618,171.56","581,618.9",200,"1,818","CN",38.04,1,4.4,"1,472",9,"N/A","VANTRUE","Electronics","Large Standard-Size","FBA","7.48 x 3.82 x 5.63 in",2.29,"N/A","Oct 11, 2023","Sponsored","No",20,"VANTRUE"
33.,"($) VANTRUE N4 3 Channel Dash Cam, 4K+1080P Dual Channel, 1440P+1440P+1080P Front Inside Rear Three Way Triple Car Dash Camera, IR Night Vision, Capacitor, 24 Hours Parking Mode, Support 256GB Max","B083V6K8RH","https://www.amazon.com/dp/B083V6K8RH?psc=1","https://m.media-amazon.com/images/I/71a0J+8FRkL._AC_SX342_.jpg","VANTRUE",259.99,"1,973","1,973","1,000","479,640.56","479,686.31",192,"1,875","CN",26.57,1,4.2,"10,415",9,47,"VANTRUE","Electronics","Large Standard-Size","FBA","5.71 x 4.29 x 5.31 in",1.98,"N/A","Jan 21, 2020","Sponsored","No",65,"VANTRUE"
34.,"($) REDTIGER Dash Cam Front Rear, 4K/2.5K Full HD Dash Camera for Cars, Included 32GB Card, Built-in Wi-Fi GPS, APP Control, 3.18"" IPS Screen, Night Vision, Wide Angle, WDR, 24H Parking Mode(F7NP)","B098WVKF19","https://www.amazon.com/dp/B098WVKF19?psc=1","https://m.media-amazon.com/images/I/71hLmfRBteL._AC_SY355_.jpg","REDTIGER",89.99,"15,363","15,324","10,000","1,735,608.01","1,731,737.53",192,22,"CN",12.72,8,4.2,"16,595",7,703,"REDTIGER-Direct","Electronics","Large Standard-Size","FBA","7.91 x 2.95 x 6.73 in",1.61,"N/A","Aug 23, 2021","Sponsored","Yes",46,"REDTIGER-Direct"
35.,"($) OMBAR T1 4K 3 Channel Dash Cam, STARVIS 2 IMX678 Sensors, Free 128GB Card, 2025 New Full Color HDR Night Vision, 4K+1080P+1080P Triple Car Camera, 5G WiFi, 24H Parking Mode, Support 512GB Max","B0DRFRKN6H","https://www.amazon.com/dp/B0DRFRKN6H?psc=1","https://m.media-amazon.com/images/I/71v0EHeY8OL._AC_SX385_.jpg","OMBAR",269.99,365,616,400,"78,202.39","136,457.13",191,"9,412","CN",6.47,2,4.8,185,9,21,"OMBAR CAM","Electronics","Large Standard-Size","FBA","10.35 x 1.93 x 10.04 in",1.43,"N/A","Mar 31, 2025","Sponsored","No",3,"OMBAR CAM"
